seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
84,610.82,857.785,10,2,15.67,0.976,0.964,
44,93.345,134.48,4,2,22.62,0.955,0.906,
59,611.13,858.139,12,6,4.599,0.898,0.858,
161,610.93,857.942,58,30,47.117,0.826,0.739,
35,10.698,12.373,4,2,8.593,0.943,0.917,
299,613.221,809.805,10,4,169.097,0.987,0.98,
161,612.502,809.079,18,4,23.722,0.975,0.963,
84,613.16,809.743,34,22,28.354,0.81,0.723,
68,11.806,14.207,6,4,9.763,0.941,0.911,
122,167.78,234.808,8,4,24.006,0.967,0.951,
151,612.758,809.337,70,39,50.819,0.768,0.648,
107,24.462,33.25,8,4,14.603,0.963,0.945,
72,14.929,19.366,8,4,9.4,0.944,0.919,
59,610.703,781.425,14,4,12.879,0.932,0.898,
57,610.776,781.5,8,4,14.472,0.93,0.895,
188,611.0,781.72,152,79,70.042,0.479,0.215,
27,610.417,781.13,4,2,0.825,0.926,0.894,
136,229.43,316.054,8,4,15.482,0.971,0.957,
79,610.453,781.17,14,4,11.629,0.949,0.925,
28,10.476,12.267,4,2,3.974,0.929,0.898,
29,9.837,11.063,0,0,0.604,1.0,1.0,
62,611.164,893.607,36,16,16.639,0.806,0.707,
72,124.389,184.298,4,2,16.07,0.972,0.957,
206,611.469,893.908,78,44,87.214,0.796,0.694,
114,611.086,893.498,20,10,88.186,0.912,0.794,
174,611.126,893.559,146,89,121.816,0.489,0.094,
360,610.925,893.268,280,162,162.521,0.542,0.227,
120,260.796,383.527,4,2,31.483,0.983,0.975,
43,12.0,15.411,8,4,11.26,0.907,0.868,
115,261.454,392.102,4,2,20.304,0.983,0.973,
185,420.24,610.208,4,2,27.386,0.989,0.984,
280,610.811,865.866,184,101,121.222,0.589,0.388,
48,611.194,866.344,20,8,19.395,0.833,0.745,
76,611.166,866.316,12,2,27.529,0.974,0.96,
38,11.567,14.115,0,0,1.914,1.0,1.0,
83,611.326,866.474,16,4,23.527,0.952,0.926,
142,610.84,865.915,80,56,51.683,0.563,0.342,
94,606.48,812.264,52,24,29.131,0.809,0.721,
112,606.503,812.302,14,6,50.715,0.946,0.911,
331,606.693,812.546,230,135,105.795,0.538,0.298,
388,606.786,812.639,164,89,128.124,0.732,0.598,
32,606.444,812.218,16,4,0.342,0.875,0.792,
23,606.472,812.257,2,2,0.179,0.913,0.856,
189,606.59,812.421,98,50,65.625,0.788,0.688,
77,21.178,28.671,4,4,12.478,0.948,0.922,
82,606.368,821.978,4,2,37.688,0.976,0.958,
18,6.402,7.634,0,0,4.233,1.0,1.0,
41,606.273,821.846,4,2,4.348,0.951,0.875,
86,606.446,822.084,12,2,4.33,0.977,0.965,
140,606.311,821.904,50,29,49.531,0.786,0.675,
117,606.429,822.067,40,20,112.612,0.829,,
115,606.462,822.1,24,12,54.075,0.896,0.836,
34,6.36,7.526,0,0,2.634,1.0,1.0,
84,606.859,775.171,36,24,51.564,0.81,0.684,
266,606.818,775.13,194,118,122.296,0.406,0.077,
61,19.928,27.558,4,2,15.278,0.967,0.947,
120,387.141,508.345,8,4,22.085,0.967,0.95,
75,104.172,145.554,4,2,49.185,0.973,0.957,
122,163.365,224.512,8,4,23.83,0.967,0.949,
339,606.381,774.658,242,142,145.084,0.54,0.284,
91,606.874,775.184,8,4,44.84,0.956,0.936,
58,606.681,721.875,28,10,35.943,0.828,0.68,
89,606.294,721.446,30,12,25.083,0.865,0.812,
37,6.549,7.828,0,0,2.845,1.0,1.0,
341,606.808,722.003,226,146,132.831,0.557,0.336,
119,416.467,502.36,0,0,21.945,1.0,1.0,
76,606.514,721.69,8,4,18.626,0.947,0.917,
233,606.363,721.529,232,143,130.439,0.326,-0.02,
122,607.027,722.221,8,4,23.061,0.967,0.949,
30,606.478,747.352,20,8,18.634,0.733,0.655,
118,156.719,218.891,8,4,24.035,0.966,0.947,
50,606.469,747.342,10,6,19.678,0.88,0.803,
50,61.374,88.271,0,0,14.611,1.0,1.0,
77,14.929,20.687,8,4,30.185,0.948,0.923,
63,606.518,747.406,12,2,12.396,0.968,0.952,
48,606.426,747.289,16,8,24.769,0.833,0.775,
182,607.516,748.404,8,4,57.99,0.978,0.966,
42,606.469,785.312,12,6,12.52,0.857,0.795,
179,606.597,785.455,90,52,58.525,0.698,0.534,
105,606.435,785.268,8,4,38.321,0.962,0.944,
93,606.533,785.382,24,10,12.646,0.892,0.848,
96,606.59,785.447,20,10,94.174,0.896,0.676,
58,6.939,9.022,0,0,1.202,1.0,1.0,
363,606.521,785.369,336,209,184.243,0.364,0.014,
77,93.887,131.458,4,2,17.177,0.974,0.96,
27,6.55,7.644,4,4,2.957,0.852,0.778,
155,606.581,784.977,20,10,40.703,0.935,0.903,
125,606.668,785.068,8,4,32.437,0.968,0.952,
91,17.667,23.866,4,2,12.958,0.978,0.968,
29,606.684,785.089,2,2,3.081,0.931,0.895,
66,606.63,785.027,28,19,14.897,0.667,0.512,
76,606.698,785.107,12,2,43.381,0.974,0.958,
74,606.708,785.116,12,2,30.86,0.973,0.96,
