seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
258,0.206,0.024,226,145,125.123,0.349,0.02
156,0.141,0.019,130,74,77.635,0.487,0.243
144,0.14,0.02,64,47,38.847,0.694,0.555
16,0.098,0.009,4,2,1.328,0.875,0.825
62,0.128,0.013,48,25,20.047,0.565,0.367
29,0.094,0.009,0,0,3.717,1.0,1.0
349,0.232,0.015,312,169,182.296,0.415,0.136
210,0.202,0.02,162,101,107.731,0.429,0.124
110,0.171,0.02,84,48,44.375,0.591,0.384
75,0.147,0.019,58,36,32.291,0.56,0.333
67,0.124,0.009,68,34,33.267,0.463,0.198
24,0.124,0.01,8,6,5.532,0.75,0.63
44,0.124,0.018,14,8,23.99,0.818,0.671
59,0.133,0.016,14,10,8.437,0.814,0.72
35,0.124,0.01,14,12,12.729,0.6,0.4
299,0.211,0.017,184,110,196.679,0.555,0.335
84,0.146,0.02,44,26,33.668,0.69,0.535
68,0.139,0.019,16,8,10.208,0.882,0.832
107,0.167,0.019,12,9,26.58,0.907,0.86
59,0.143,0.022,40,22,26.411,0.661,0.494
188,0.19,0.02,142,86,80.669,0.479,0.226
27,0.123,0.01,4,2,0.39,0.926,0.894
136,0.159,0.013,94,67,68.858,0.463,0.196
79,0.129,0.011,58,31,30.65,0.582,0.378
28,0.114,0.009,4,2,3.569,0.929,0.898
29,0.121,0.011,4,2,3.55,0.931,0.901
62,0.126,0.01,36,22,30.241,0.581,0.376
72,0.132,0.015,44,27,37.445,0.653,0.475
174,0.173,0.019,100,51,47.792,0.661,0.511
360,0.229,0.019,344,195,174.017,0.439,0.245
115,0.151,0.017,38,23,34.213,0.791,0.694
280,0.197,0.023,182,95,121.628,0.6,0.42
38,0.122,0.011,4,2,2.642,0.947,0.924
83,0.129,0.011,58,37,36.86,0.578,0.369
94,0.151,0.018,64,39,47.906,0.574,0.362
331,0.225,0.02,268,154,113.631,0.474,0.236
388,0.244,0.016,288,145,177.599,0.595,0.403
32,0.111,0.008,28,19,21.143,0.375,0.009
23,0.119,0.011,2,2,0.424,0.913,0.856
189,0.179,0.013,160,97,95.57,0.423,0.134
82,0.135,0.018,56,31,35.545,0.61,0.443
18,0.11,0.009,4,2,4.243,0.889,0.845
41,0.114,0.009,32,18,18.988,0.585,0.449
140,0.166,0.023,68,42,42.754,0.721,0.58
115,0.155,0.018,56,30,34.362,0.73,0.603
34,0.117,0.01,4,2,1.129,0.941,0.912
84,0.128,0.011,56,29,30.987,0.643,0.464
61,0.129,0.018,12,8,26.115,0.869,0.793
75,0.142,0.017,72,36,19.044,0.56,0.387
339,0.209,0.022,300,164,152.926,0.487,0.275
58,0.131,0.015,60,31,30.13,0.466,0.262
89,0.132,0.011,38,23,27.072,0.73,0.594
37,0.119,0.011,20,13,17.007,0.568,0.337
119,0.157,0.022,68,42,47.761,0.58,0.363
233,0.193,0.019,184,125,80.296,0.421,0.117
122,0.143,0.013,78,45,43.902,0.533,0.314
30,0.122,0.011,18,12,17.048,0.467,0.204
77,0.14,0.017,20,12,33.795,0.818,0.74
63,0.131,0.017,60,36,39.685,0.381,0.059
182,0.177,0.019,124,81,61.054,0.527,0.292
105,0.152,0.017,52,31,35.764,0.714,0.577
96,0.137,0.017,72,45,53.359,0.458,0.112
58,0.129,0.016,16,10,9.828,0.793,0.699
77,0.134,0.012,26,16,26.518,0.792,0.686
27,0.118,0.01,8,4,7.04,0.852,0.798
125,0.155,0.02,48,35,54.119,0.624,0.446
91,0.138,0.011,32,17,10.722,0.78,0.67
29,0.117,0.01,16,10,9.392,0.655,0.519
76,0.134,0.018,72,36,47.545,0.526,0.306
74,0.14,0.017,58,32,32.814,0.662,0.503
120,0.139,0.012,46,30,42.652,0.667,0.489
39,0.118,0.009,8,5,3.713,0.846,0.778
21,0.117,0.01,8,4,5.764,0.81,0.745
99,0.141,0.011,56,36,34.329,0.677,0.517
115,0.148,0.019,54,32,38.553,0.704,0.582
151,0.163,0.02,68,40,44.62,0.709,0.589
103,0.153,0.018,42,26,34.923,0.68,0.53
76,0.135,0.017,62,31,39.752,0.592,0.398
161,0.165,0.018,68,36,54.345,0.733,0.603
