seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
161,26.155,0.011,88,46,49.981,0.745,0.627,
108,0.54,0.01,12,8,25.487,0.926,0.889,
76,0.353,0.009,60,30,45.064,0.645,0.504,
119,0.051,0.008,12,8,21.445,0.933,0.9,
45,0.022,0.006,4,2,8.791,0.956,0.935,
85,0.479,0.007,26,15,23.923,0.812,0.726,
106,0.219,0.007,18,12,27.432,0.887,0.831,
25,0.008,0.003,0,0,2.863,1.0,1.0,
33,0.02,0.004,4,2,3.111,0.939,0.908,
38,0.006,0.002,12,6,22.76,0.842,0.787,
38,0.005,0.002,16,8,6.306,0.789,0.723,
120,0.085,0.011,38,21,58.381,0.833,0.768,
369,870.44,0.013,346,202,169.561,0.458,0.152,
21,0.005,0.005,4,3,4.828,0.81,0.722,
112,1.835,0.011,50,30,33.642,0.696,0.572,
103,1.498,0.01,36,18,35.976,0.825,0.76,
76,0.289,0.009,52,21,30.994,0.632,0.463,
108,1.44,0.009,44,21,37.882,0.843,0.76,
39,0.011,0.005,12,6,11.549,0.846,0.791,
109,0.037,0.006,8,4,7.822,0.963,0.945,
76,0.025,0.005,30,17,23.343,0.763,0.67,
182,0.275,0.005,104,54,78.641,0.758,0.649,
110,3.276,0.005,34,19,17.691,0.8,0.708,
177,3.668,0.005,70,39,43.875,0.774,0.692,
98,2.181,0.012,58,29,33.457,0.724,0.594,
119,0.387,0.011,16,12,21.776,0.882,0.825,
19,0.005,0.005,4,2,3.43,0.895,0.849,
215,17.045,0.011,126,64,90.57,0.702,0.602,
100,0.045,0.009,8,4,20.067,0.96,0.942,
122,2.78,0.009,66,43,31.035,0.648,0.479,
51,0.143,0.006,28,16,17.074,0.686,0.475,
37,0.009,0.003,14,8,12.984,0.784,0.686,
71,0.044,0.004,66,33,45.471,0.606,0.46,
104,0.041,0.011,8,5,16.255,0.942,0.914,
169,2.631,0.013,86,52,50.074,0.627,0.444,
29,0.009,0.007,4,2,3.201,0.931,0.901,
104,0.041,0.01,8,6,11.273,0.942,0.914,
37,0.007,0.006,4,2,4.909,0.946,0.921,
75,0.71,0.009,48,29,29.515,0.613,0.443,
120,0.041,0.011,28,16,27.72,0.867,0.804,
74,0.981,0.011,48,28,33.31,0.608,0.323,
118,0.581,0.01,42,22,36.855,0.814,0.735,
61,0.014,0.008,8,4,8.079,0.934,0.906,
76,0.074,0.008,18,11,11.749,0.842,0.774,
45,0.011,0.005,12,6,12.365,0.867,0.816,
37,0.031,0.006,20,10,12.989,0.73,0.647,
58,0.109,0.006,14,9,14.432,0.828,0.752,
46,0.032,0.005,20,11,13.935,0.739,0.568,
107,0.054,0.004,60,30,36.449,0.832,0.748,
111,4.408,0.005,74,40,59.192,0.622,0.404,
115,0.076,0.002,64,47,46.261,0.565,0.339,
27,0.005,0.005,0,0,1.176,1.0,1.0,
73,0.115,0.012,22,12,30.583,0.836,0.771,
114,3.731,0.012,80,38,75.468,0.649,0.492,
42,0.006,0.006,4,4,4.411,0.857,0.775,
90,0.025,0.009,16,9,13.532,0.889,0.841,
100,0.026,0.009,16,10,24.398,0.9,0.854,
331,274.612,0.009,230,140,128.935,0.589,0.4,
115,0.056,0.007,84,47,30.784,0.687,0.527,
72,0.018,0.006,56,31,24.715,0.625,0.453,
125,0.074,0.006,36,22,49.5,0.76,0.659,
75,0.017,0.004,16,8,13.896,0.893,0.851,
96,0.027,0.003,4,2,27.004,0.979,0.969,
103,6.515,0.003,24,13,33.876,0.864,0.81,
41,0.006,0.006,8,4,6.197,0.902,0.862,
102,0.837,0.011,22,12,28.502,0.882,0.825,
34,0.03,0.009,8,6,8.097,0.824,0.736,
182,10.941,0.011,132,63,54.138,0.703,0.576,
58,0.493,0.008,50,21,19.868,0.621,0.401,
120,0.223,0.008,18,14,25.088,0.867,0.8,
91,0.026,0.006,20,10,20.19,0.89,0.847,
266,285.912,0.007,224,131,124.163,0.489,0.237,
135,1.094,0.005,46,29,32.713,0.748,0.634,
127,1.942,0.005,24,14,43.495,0.89,0.841,
67,0.014,0.003,42,27,25.071,0.672,0.535,
61,0.556,0.004,56,30,19.188,0.475,0.05,
155,1.547,0.004,28,20,51.71,0.858,0.789,
215,54.821,0.013,150,70,83.56,0.674,0.568,
118,0.071,0.011,30,18,28.969,0.847,0.781,
114,8.395,0.011,80,42,62.64,0.632,0.494,
29,0.021,0.007,4,2,3.92,0.931,0.901,
87,9.772,0.011,88,49,52.188,0.437,0.163,
34,0.014,0.005,24,13,9.068,0.529,0.142,
242,664.037,0.012,258,148,145.5,0.479,0.229,
258,84.217,0.011,156,80,93.383,0.702,0.561,
28,0.014,0.005,10,6,5.162,0.786,0.698,
114,0.075,0.008,32,19,32.286,0.825,0.751,
43,0.045,0.007,32,23,19.011,0.372,-0.045,
118,2.794,0.007,58,40,29.37,0.669,0.51,
29,0.028,0.005,4,2,1.351,0.931,0.898,
184,27.362,0.013,106,60,82.493,0.658,0.492,
121,0.274,0.009,26,17,30.295,0.851,0.784,
38,0.005,0.005,8,4,19.293,0.895,0.854,
70,0.02,0.01,4,3,8.373,0.943,0.914,
120,1.154,0.011,74,32,47.753,0.7,0.553,
39,0.008,0.006,12,6,12.039,0.846,0.763,
34,0.023,0.009,8,5,8.842,0.824,0.734,
36,0.005,0.005,12,8,21.39,0.722,0.544,
38,0.006,0.007,2,2,2.079,0.947,0.921,
52,0.006,0.006,2,2,9.072,0.962,0.942,
111,0.059,0.01,54,28,42.059,0.748,0.632,
119,0.345,0.01,68,36,49.533,0.782,0.669,
72,0.353,0.009,62,32,28.63,0.583,0.298,
339,215.975,0.009,278,148,152.647,0.584,0.362,
120,0.752,0.008,22,16,21.707,0.85,0.777,
43,0.006,0.005,0,0,1.203,1.0,1.0,
57,0.07,0.006,6,4,13.284,0.93,0.896,
30,0.009,0.005,8,4,3.293,0.867,0.8,
119,0.035,0.005,20,15,34.203,0.849,0.775,
118,1.409,0.012,68,35,52.413,0.771,0.668,
45,0.008,0.006,14,8,10.829,0.822,0.74,
369,2141.261,0.012,384,210,163.855,0.428,0.165,
63,0.707,0.01,26,12,22.436,0.81,0.713,
120,0.055,0.008,34,21,26.416,0.817,0.735,
32,0.007,0.005,4,2,5.765,0.938,0.91,
111,0.067,0.007,48,30,45.114,0.721,0.595,
77,0.385,0.008,74,32,37.272,0.623,0.443,
72,0.057,0.005,22,14,9.474,0.806,0.713,
126,0.086,0.004,28,14,34.512,0.889,0.844,
154,16.416,0.006,122,68,82.164,0.539,0.31,
74,0.02,0.003,72,38,33.802,0.514,0.289,
120,0.066,0.004,36,24,64.877,0.792,0.7,
52,0.198,0.003,20,12,16.282,0.769,0.554,
95,2.29,0.004,66,34,40.582,0.621,0.462,
174,6.907,0.012,62,34,42.234,0.782,0.685,
52,0.013,0.007,16,8,10.121,0.808,0.705,
120,0.428,0.01,66,49,65.753,0.617,0.427,
55,0.018,0.009,14,8,11.544,0.818,0.73,
53,0.144,0.008,8,5,7.303,0.906,0.858,
331,538.432,0.008,218,127,133.104,0.595,0.409,
46,0.039,0.007,14,10,14.937,0.783,0.674,
20,0.004,0.003,4,4,4.637,0.7,0.545,
184,58.027,0.009,124,65,92.506,0.636,0.463,
120,0.064,0.01,22,15,23.854,0.867,0.799,
102,0.04,0.01,6,4,30.478,0.961,0.941,
29,0.012,0.007,4,2,0.424,0.931,0.898,
231,5.802,0.011,190,105,119.664,0.606,0.423,
118,0.076,0.01,32,22,22.638,0.788,0.683,
27,0.004,0.004,0,0,1.547,1.0,1.0,
75,0.014,0.009,12,6,28.663,0.92,0.883,
195,8.197,0.007,72,47,58.81,0.744,0.616,
154,11.184,0.009,94,64,77.29,0.617,0.416,
55,0.377,0.011,38,20,27.04,0.655,0.492,
27,0.004,0.004,0,0,0.094,1.0,1.0,
146,6.407,0.009,74,42,55.074,0.733,0.617,
136,0.105,0.008,14,6,14.953,0.956,0.934,
299,22.665,0.009,58,32,189.686,0.893,0.847,
215,22.297,0.008,142,74,78.4,0.67,0.529,
339,208.333,0.005,274,164,144.181,0.501,0.25,
135,0.467,0.006,48,31,33.807,0.733,0.609,
81,0.102,0.005,32,18,20.82,0.778,0.698,
177,7.803,0.005,88,47,50.042,0.734,0.62,
151,0.578,0.007,48,25,45.341,0.828,0.75,
331,402.852,0.012,258,132,125.804,0.589,0.4,
119,0.044,0.01,34,22,29.613,0.798,0.703,
115,0.685,0.008,42,23,23.191,0.791,0.706,
74,0.701,0.012,64,34,30.383,0.554,0.328,
58,0.01,0.007,12,6,12.324,0.897,0.856,
76,0.042,0.01,16,10,10.619,0.868,0.808,
26,0.007,0.005,10,6,7.019,0.769,0.676,
77,0.279,0.01,56,29,42.609,0.662,0.509,
146,4.212,0.01,106,47,75.989,0.719,0.596,
126,0.069,0.008,64,43,47.081,0.643,0.469,
110,0.047,0.007,50,28,52.531,0.727,0.635,
34,0.032,0.005,12,7,9.822,0.765,0.653,
76,0.249,0.006,68,35,18.943,0.605,0.453,
75,0.058,0.004,64,34,34.588,0.573,0.385,
60,0.015,0.002,20,12,14.364,0.8,0.716,
72,0.082,0.003,56,29,43.649,0.681,0.549,
120,0.055,0.011,22,16,33.924,0.817,0.723,
75,2.031,0.011,72,37,35.931,0.467,0.175,
77,0.032,0.01,74,40,26.197,0.571,0.408,
23,0.007,0.006,4,2,3.139,0.913,0.875,
67,0.033,0.009,44,22,25.955,0.761,0.639,
29,0.014,0.008,10,6,3.142,0.793,0.708,
266,252.767,0.005,248,135,155.907,0.556,0.318,
30,0.005,0.004,8,4,8.235,0.867,0.816,
119,0.815,0.008,16,12,20.355,0.891,0.837,
299,14.379,0.008,56,30,185.188,0.893,0.842,
120,0.046,0.007,18,14,25.2,0.85,0.777,
28,0.009,0.005,0,0,0.427,1.0,1.0,
144,2.389,0.015,30,16,36.434,0.889,0.841,
120,0.07,0.014,34,20,36.349,0.817,0.729,
120,0.065,0.013,26,17,22.07,0.85,0.775,
118,0.165,0.013,78,44,61.623,0.72,0.582,
151,0.153,0.012,72,41,52.447,0.788,0.687,
36,0.007,0.004,0,0,3.081,1.0,1.0,
48,0.01,0.005,10,6,6.369,0.833,0.753,
35,0.017,0.006,0,0,0.206,1.0,1.0,
32,0.029,0.008,14,8,11.11,0.75,0.648,
116,1.02,0.007,40,24,29.87,0.793,0.691,
20,0.018,0.004,4,2,3.529,0.9,0.858,
120,1.346,0.005,30,19,33.35,0.817,0.727,
77,0.074,0.003,14,8,23.163,0.896,0.844,
210,76.129,0.004,164,97,84.038,0.571,0.318,
48,0.007,0.007,10,6,5.587,0.833,0.753,
96,1.774,0.013,68,38,27.316,0.562,0.329,
55,0.015,0.01,10,6,9.479,0.891,0.841,
20,0.004,0.003,6,4,6.623,0.7,0.558,
122,0.6,0.011,38,23,30.933,0.803,0.72,
117,28.511,0.01,128,69,47.179,0.402,0.24,
102,1.163,0.008,28,15,28.994,0.843,0.783,
29,0.01,0.006,4,2,3.11,0.931,0.901,
72,0.354,0.007,32,16,29.646,0.778,0.71,
77,0.1,0.007,54,35,43.337,0.571,0.352,
58,0.102,0.103,46,21,25.834,0.621,0.446,
20,0.103,0.104,4,4,4.228,0.8,0.699,
71,0.1,0.101,10,8,8.077,0.887,0.817,
115,0.101,0.103,72,44,46.95,0.704,0.565,
120,0.29,0.107,22,13,34.228,0.883,0.829,
120,0.048,0.008,14,10,21.573,0.917,0.874,
33,0.005,0.004,0,0,0.553,1.0,1.0,
147,8.83,0.006,88,57,57.428,0.653,0.495,
108,0.656,0.005,44,26,25.428,0.741,0.631,
121,0.232,0.003,20,13,21.732,0.884,0.826,
105,0.368,0.003,32,20,19.824,0.8,0.707,
76,0.505,0.011,46,33,37.673,0.632,0.452,
25,0.006,0.005,6,4,3.689,0.84,0.762,
76,0.146,0.01,30,19,28.423,0.737,0.632,
126,0.059,0.009,32,18,26.949,0.841,0.768,
38,0.007,0.006,12,8,8.727,0.789,0.685,
71,0.132,0.006,68,35,47.772,0.535,0.361,
48,0.013,0.005,6,4,5.688,0.875,0.8,
55,0.008,0.004,4,2,5.908,0.964,0.946,
112,0.938,0.006,42,25,34.227,0.696,0.572,
28,0.006,0.003,2,2,2.474,0.929,0.889,
22,0.008,0.006,10,6,8.972,0.727,0.609,
19,0.009,0.007,12,7,8.305,0.579,0.31,
76,0.552,0.007,68,35,25.622,0.632,0.469,
231,2.473,0.011,104,63,54.377,0.753,0.632,
79,1.403,0.01,52,27,34.365,0.646,0.514,
258,32.75,0.009,126,67,84.272,0.748,0.635,
299,30.966,0.009,60,34,183.758,0.88,0.822,
95,0.756,0.012,30,17,26.56,0.811,0.731,
120,0.291,0.012,68,43,63.062,0.7,0.552,
105,0.383,0.011,34,20,28.736,0.79,0.697,
83,0.021,0.008,16,12,13.58,0.831,0.749,
37,0.026,0.009,2,2,4.485,0.946,0.915,
32,0.006,0.004,12,8,6.646,0.75,0.562,
266,223.808,0.01,190,116,138.366,0.586,0.374,
17,0.006,0.005,4,2,2.523,0.882,0.823,
117,0.374,0.012,38,24,59.776,0.752,0.61,
34,0.005,0.004,4,4,4.029,0.882,0.813,
55,0.011,0.009,26,16,16.691,0.782,0.666,
42,0.006,0.006,4,2,4.05,0.952,0.929,
46,0.009,0.008,4,2,4.507,0.957,0.937,
65,0.224,0.009,28,14,35.102,0.785,0.666,
118,0.03,0.009,28,15,28.234,0.864,0.811,
40,0.005,0.005,2,2,4.736,0.95,0.925,
26,0.008,0.006,12,8,7.115,0.692,0.559,
369,1405.091,0.008,380,207,169.081,0.42,0.122,
32,0.006,0.005,6,4,6.548,0.875,0.816,
27,0.005,0.004,6,4,4.334,0.852,0.783,
33,0.005,0.004,0,0,1.358,1.0,1.0,
29,0.006,0.004,0,0,1.691,1.0,1.0,
75,0.263,0.004,64,34,32.392,0.613,0.446,
26,0.004,0.003,12,7,19.512,0.692,0.526,
130,0.652,0.012,8,4,7.295,0.969,0.953,
35,0.005,0.005,4,4,2.921,0.886,0.821,
57,0.174,0.011,24,12,11.325,0.789,0.696,
77,0.025,0.009,66,36,17.743,0.584,0.405,
120,1.106,0.01,70,42,61.872,0.717,0.584,
118,0.652,0.009,38,22,39.249,0.788,0.7,
120,0.113,0.008,26,15,26.716,0.867,0.81,
125,0.076,0.007,16,10,42.475,0.92,0.882,
46,0.093,0.007,8,5,15.205,0.87,0.795,
74,0.033,0.006,48,30,30.79,0.662,0.494,
56,0.172,0.007,16,8,17.785,0.857,0.797,
69,0.044,0.005,12,6,16.269,0.913,0.873,
29,0.02,0.005,4,2,4.03,0.931,0.901,
115,0.089,0.005,46,26,22.364,0.774,0.675,
101,0.269,0.002,36,20,24.665,0.812,0.733,
52,0.005,0.001,2,2,7.048,0.962,0.942,
