seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
84,613.82,819.059,36,24,50.266,0.798,0.664,
266,613.639,818.83,76,43,168.978,0.857,0.755,
61,13.791,17.01,6,4,20.303,0.934,0.897,
120,30.967,40.707,6,4,23.13,0.967,0.949,
75,19.52,24.93,4,2,50.305,0.973,0.957,
122,37.22,48.802,4,2,21.852,0.984,0.975,
339,613.554,818.721,40,20,221.275,0.941,0.859,
91,613.176,793.293,12,8,40.598,0.912,0.87,
58,613.434,793.664,22,8,37.305,0.828,0.669,
89,613.213,793.354,26,14,26.715,0.843,0.772,
37,12.458,14.092,0,0,2.929,1.0,1.0,
341,613.115,793.2,62,43,117.446,0.9,0.848,
119,59.338,72.715,6,4,23.749,0.966,0.949,
76,613.048,793.107,28,18,26.539,0.829,0.723,
233,613.545,793.807,118,72,114.779,0.742,0.528,
122,141.964,175.068,6,4,27.266,0.967,0.949,
30,614.02,794.415,20,10,8.641,0.667,0.577,
118,13.247,15.915,0,0,20.418,1.0,1.0,
50,612.769,792.664,8,4,20.97,0.92,0.874,
50,14.164,17.419,0,0,14.745,1.0,1.0,
77,13.417,16.204,0,0,37.961,1.0,1.0,
63,612.946,792.95,28,10,14.351,0.841,0.76,
48,613.17,793.308,24,13,27.663,0.708,0.581,
182,570.695,736.971,8,4,52.938,0.978,0.966,
42,613.835,794.229,12,6,10.597,0.857,0.795,
179,18.428,23.002,4,2,38.298,0.989,0.983,
105,613.509,793.767,4,2,37.972,0.981,0.972,
93,623.1,806.593,30,15,22.791,0.828,0.741,
96,622.796,806.232,16,9,86.834,0.896,0.683,
58,23.856,29.036,0,0,1.06,1.0,1.0,
363,623.325,806.855,92,38,232.704,0.904,0.765,
77,98.604,129.196,2,2,24.687,0.974,0.959,
27,23.938,29.225,4,2,4.101,0.926,0.894,
155,625.456,809.05,8,4,37.154,0.974,0.962,
125,623.239,806.757,6,4,30.363,0.968,0.952,
91,24.31,30.013,0,0,18.123,1.0,1.0,
29,623.553,807.108,2,2,3.234,0.931,0.895,
66,622.337,805.705,44,26,34.142,0.727,0.596,
76,622.326,805.692,16,6,40.421,0.921,0.873,
74,624.071,807.655,36,20,31.482,0.797,0.701,
101,623.337,806.865,26,16,22.576,0.881,0.821,
120,26.987,34.543,6,4,30.179,0.967,0.949,
39,623.521,807.07,4,2,3.476,0.949,0.926,
21,23.368,27.938,0,0,0.051,1.0,1.0,
99,23.852,29.12,0,0,4.86,1.0,1.0,
231,624.141,807.721,12,8,20.821,0.965,0.948,
115,58.417,75.828,8,4,23.964,0.965,0.948,
151,208.073,260.151,8,4,42.856,0.974,0.961,
101,612.891,770.208,28,12,19.672,0.881,0.83,
92,13.604,15.827,0,0,10.357,1.0,1.0,
103,614.073,771.622,42,16,18.603,0.845,0.777,
91,14.24,17.368,2,2,11.811,0.978,0.966,
76,614.809,772.415,12,3,44.198,0.947,0.916,
161,614.082,771.636,24,11,29.48,0.925,0.89,
108,23.076,28.878,10,4,18.212,0.963,0.945,
76,14.418,17.822,4,2,30.412,0.974,0.957,
119,23.652,29.578,4,3,19.423,0.966,0.949,
91,614.019,771.552,10,6,52.208,0.934,0.902,
45,14.334,17.682,4,2,6.895,0.956,0.935,
85,614.975,772.581,8,4,17.703,0.953,0.926,
106,614.895,772.499,10,4,24.886,0.962,0.943,
360,615.708,773.332,92,40,223.183,0.889,0.721,
115,613.842,771.346,14,10,47.403,0.913,0.859,
25,14.114,17.102,0,0,3.225,1.0,1.0,
33,14.198,17.363,0,0,1.557,1.0,1.0,
38,13.218,15.063,0,0,15.232,1.0,1.0,
38,13.942,16.677,4,2,6.686,0.947,0.919,
120,32.905,39.665,0,0,61.864,1.0,1.0,
369,614.013,730.395,48,28,308.365,0.93,0.648,
59,614.836,731.284,20,10,2.951,0.831,0.762,
21,16.853,21.006,4,2,3.612,0.905,0.866,
112,42.361,50.973,6,4,31.208,0.964,0.945,
349,613.491,729.755,110,48,206.817,0.88,0.787,
349,615.18,731.634,124,67,198.819,0.831,0.697,
103,613.793,730.116,16,8,14.377,0.922,0.889,
76,612.835,728.925,10,4,33.313,0.947,0.914,
108,615.108,731.559,12,6,12.307,0.963,0.944,
109,612.54,728.573,12,6,12.114,0.945,0.915,
39,12.999,15.163,4,2,4.118,0.949,0.926,
89,613.7,730.002,8,4,25.478,0.955,0.932,
109,14.865,18.566,0,0,7.121,1.0,1.0,
76,15.57,19.57,6,4,32.359,0.947,0.916,
182,613.711,730.019,50,24,62.495,0.912,0.862,
360,613.752,730.069,106,50,230.081,0.875,0.68,
110,612.95,729.116,16,8,30.613,0.927,0.892,
258,613.723,730.035,50,30,104.352,0.907,0.86,
177,613.719,730.029,16,9,49.075,0.944,0.909,
169,614.182,792.023,54,25,47.706,0.882,0.823,
360,615.33,793.439,66,43,247.552,0.903,0.723,
98,25.202,33.022,0,0,28.628,1.0,1.0,
119,19.534,25.466,6,4,26.743,0.966,0.949,
86,615.659,793.789,12,4,7.508,0.953,0.932,
19,13.715,15.358,0,0,1.886,1.0,1.0,
215,614.785,792.801,12,6,116.66,0.972,0.949,
100,16.614,21.67,6,4,13.222,0.97,0.955,
122,56.252,73.407,0,0,21.065,1.0,1.0,
363,615.567,793.693,98,26,225.27,0.928,0.828,
115,615.561,793.686,24,14,38.59,0.878,0.808,
62,614.042,791.822,4,2,21.909,0.968,0.953,
70,614.449,792.338,12,4,3.419,0.943,0.918,
51,614.683,792.681,4,2,4.213,0.961,0.879,
66,615.617,793.742,20,6,22.525,0.909,0.856,
369,614.858,792.881,32,14,156.751,0.962,0.94,
37,17.877,23.356,4,2,4.007,0.946,0.922,
71,22.77,29.654,10,4,17.482,0.944,0.912,
128,614.884,792.92,38,15,49.421,0.883,0.828,
59,615.051,793.106,10,4,6.188,0.932,0.9,
104,22.777,29.137,0,0,16.593,1.0,1.0,
47,615.256,727.789,8,4,1.248,0.915,0.872,
169,615.462,727.996,8,6,41.096,0.964,0.944,
78,615.775,728.345,28,18,14.512,0.795,0.705,
29,15.699,19.652,0,0,0.251,1.0,1.0,
104,17.223,22.624,8,4,13.543,0.962,0.943,
84,615.755,728.32,10,2,14.995,0.976,0.964,
363,615.819,728.393,118,63,245.927,0.851,0.625,
37,15.687,19.592,0,0,0.717,1.0,1.0,
75,17.863,23.323,0,0,31.47,1.0,1.0,
120,28.333,35.521,0,0,23.452,1.0,1.0,
71,613.985,771.452,14,6,19.974,0.915,0.872,
206,616.443,774.054,48,27,96.998,0.879,0.82,
74,615.897,773.458,30,22,70.073,0.743,0.102,
76,615.814,773.367,14,4,6.928,0.947,0.92,
118,615.437,772.973,18,10,46.666,0.915,0.852,
61,16.418,20.814,0,0,8.613,1.0,1.0,
129,616.262,773.859,8,4,12.225,0.969,0.953,
76,18.268,23.111,4,2,11.423,0.974,0.96,
75,616.474,774.086,12,4,20.058,0.947,0.92,
45,15.463,18.797,0,0,2.579,1.0,1.0,
37,615.993,773.57,4,2,12.746,0.946,0.901,
349,616.518,774.131,88,42,199.699,0.885,0.797,
58,615.981,773.557,8,2,8.377,0.966,0.949,
46,15.663,19.475,0,0,13.316,1.0,1.0,
142,615.805,773.355,16,4,22.423,0.972,0.958,
107,15.068,18.151,4,2,11.432,0.981,0.972,
119,614.234,771.706,36,22,56.814,0.807,0.732,
111,616.439,774.049,20,10,86.75,0.91,0.711,
115,23.048,28.92,4,2,24.402,0.983,0.973,
27,13.371,15.941,0,0,0.363,1.0,1.0,
73,13.11,15.237,8,4,14.735,0.945,0.917,
114,612.485,793.78,18,10,90.032,0.912,0.795,
192,612.574,793.884,66,32,104.173,0.818,0.729,
81,614.593,796.282,36,18,13.333,0.852,0.783,
42,13.765,16.901,0,0,0.451,1.0,1.0,
161,613.731,795.256,32,14,35.242,0.913,0.872,
90,13.675,16.728,0,0,7.61,1.0,1.0,
100,14.124,17.416,0,0,15.739,1.0,1.0,
392,613.354,794.84,152,77,164.649,0.827,0.741,
69,614.649,796.338,14,6,36.462,0.913,0.848,
331,613.363,794.851,100,42,131.346,0.891,0.827,
115,17.488,21.999,0,0,10.356,1.0,1.0,
72,13.516,16.381,4,2,5.484,0.972,0.959,
35,613.26,794.731,8,4,15.312,0.886,0.836,
125,27.218,33.632,8,4,39.346,0.968,0.953,
86,613.711,795.233,12,4,7.148,0.953,0.932,
75,14.478,17.977,0,0,2.853,1.0,1.0,
96,15.221,19.093,0,0,32.322,1.0,1.0,
103,269.505,354.899,4,2,19.041,0.981,0.971,
41,14.483,17.755,0,0,4.255,1.0,1.0,
102,614.226,739.992,10,6,23.804,0.941,0.91,
233,615.239,741.132,90,47,62.003,0.82,0.731,
34,614.68,740.494,6,4,5.425,0.882,0.827,
182,237.401,286.518,4,4,57.611,0.978,0.966,
67,614.582,740.386,16,4,11.874,0.94,0.912,
58,614.918,740.764,26,12,39.537,0.793,0.601,
71,614.789,740.62,48,25,30.512,0.732,0.585,
120,59.758,72.85,4,2,15.984,0.983,0.975,
392,613.579,739.253,164,76,152.949,0.814,0.727,
91,14.775,18.463,0,0,15.841,1.0,1.0,
341,615.3,741.196,60,31,124.392,0.933,0.897,
98,614.948,740.806,20,10,9.901,0.898,0.858,
266,615.235,741.129,84,49,165.609,0.835,0.715,
135,615.158,741.04,20,10,30.508,0.926,0.888,
127,615.193,741.08,10,6,33.301,0.953,0.929,
67,33.615,41.689,10,4,37.117,0.94,0.911,
61,614.696,740.509,8,4,29.269,0.934,,
233,614.955,740.812,150,86,114.799,0.708,0.458,
155,615.121,740.997,10,4,40.662,0.974,0.961,
215,614.746,816.561,22,13,121.263,0.935,0.88,
392,614.972,816.879,140,60,127.992,0.862,0.795,
118,615.137,817.046,4,2,20.817,0.983,0.975,
114,614.383,816.087,20,10,88.338,0.912,0.798,
29,14.71,17.666,0,0,0.201,1.0,1.0,
87,613.339,814.8,38,16,48.504,0.816,0.704,
34,614.741,816.573,8,4,8.607,0.882,0.672,
242,614.854,816.736,136,102,152.937,0.69,0.458,
258,615.033,816.951,62,29,73.47,0.884,0.819,
28,614.067,815.678,8,6,7.571,0.786,0.681,
114,26.273,34.666,2,2,32.422,0.982,0.973,
43,614.814,816.685,4,2,6.351,0.953,0.893,
118,614.765,816.621,18,10,47.085,0.915,0.853,
29,614.611,816.414,4,2,0.165,0.931,0.898,
150,615.448,730.75,62,41,46.983,0.82,0.722,
184,614.813,729.996,34,15,88.328,0.913,0.846,
121,38.258,46.116,6,4,26.277,0.967,0.95,
38,16.392,19.788,4,2,14.887,0.947,0.923,
70,17.15,21.831,4,2,5.534,0.971,0.957,
120,387.922,463.699,8,4,41.384,0.967,0.951,
39,16.789,21.097,8,4,9.876,0.897,0.837,
83,615.369,730.659,18,10,22.591,0.88,0.829,
34,614.624,729.732,6,4,4.925,0.882,0.827,
36,616.783,747.106,8,4,30.631,0.889,0.798,
38,17.954,21.7,0,0,1.046,1.0,1.0,
52,18.14,22.29,4,2,7.837,0.962,0.944,
111,18.361,22.811,0,0,21.035,1.0,1.0,
77,618.545,749.056,12,4,11.026,0.948,0.921,
119,23.993,30.554,2,2,22.718,0.983,0.974,
91,618.841,749.374,8,4,53.623,0.956,0.936,
72,36.377,45.571,8,4,23.88,0.944,0.887,
76,617.8,748.269,12,4,21.704,0.947,0.919,
339,618.882,749.423,44,22,213.457,0.935,0.842,
120,38.674,48.392,4,2,15.209,0.983,0.975,
43,17.756,21.25,4,2,2.448,0.953,0.929,
369,618.787,749.315,92,44,154.456,0.9,0.84,
78,618.365,748.86,8,4,6.061,0.949,0.926,
57,618.11,748.598,4,2,13.248,0.965,0.949,
190,617.607,748.068,92,48,77.636,0.784,0.66,
73,617.907,748.383,12,2,44.648,0.973,0.957,
30,618.567,749.081,4,2,0.289,0.933,0.903,
119,66.336,81.713,8,4,30.677,0.966,0.95,
159,618.784,749.322,38,18,68.665,0.887,0.808,
118,614.878,771.294,52,34,23.637,0.805,0.698,
188,615.266,771.752,46,19,65.615,0.894,0.844,
45,15.249,18.859,2,2,7.185,0.956,0.933,
71,615.194,771.668,12,3,11.259,0.944,0.916,
369,614.507,770.841,50,26,308.526,0.93,0.64,
63,614.374,770.657,12,6,32.804,0.905,0.826,
120,24.342,31.216,0,0,10.255,1.0,1.0,
258,614.773,771.154,52,20,88.973,0.926,0.889,
32,15.104,18.627,0,0,1.98,1.0,1.0,
111,15.205,18.805,4,2,20.3,0.982,0.973,
