seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
89,613.197,726.919,6,6,27.749,0.933,0.899,
37,12.644,14.539,4,2,3.872,0.946,0.918,
341,612.973,726.591,34,24,127.974,0.927,0.888,
119,127.446,148.257,4,2,18.62,0.983,0.975,
76,184.891,217.633,6,3,20.359,0.947,0.916,
233,614.419,728.232,126,76,107.673,0.734,0.508,
122,79.516,93.141,8,4,23.593,0.967,0.948,
30,612.645,726.196,22,10,12.751,0.667,0.577,
118,13.544,16.62,0,0,21.694,1.0,1.0,
50,613.215,726.947,10,6,21.383,0.88,0.81,
50,13.784,16.969,4,2,12.187,0.96,0.936,
77,13.012,15.377,4,2,39.9,0.974,0.96,
63,613.066,726.752,12,5,13.678,0.905,0.856,
48,613.417,727.202,14,8,25.766,0.792,0.7,
182,614.792,728.602,8,4,58.92,0.978,0.966,
42,613.174,726.894,8,4,10.19,0.905,0.861,
179,51.937,61.08,6,4,39.46,0.978,0.965,
105,612.651,726.22,30,19,33.226,0.867,0.8,
93,613.734,726.374,50,27,26.833,0.774,0.665,
96,614.213,726.868,20,10,90.363,0.896,0.676,
58,13.501,16.199,2,2,2.911,0.966,0.948,
363,614.415,727.082,88,32,235.955,0.915,0.793,
77,113.227,133.422,4,2,16.695,0.974,0.96,
27,13.598,16.388,4,3,2.824,0.852,0.783,
155,614.613,727.283,8,4,39.391,0.974,0.962,
125,614.425,727.092,28,14,19.745,0.872,0.811,
91,14.569,17.784,8,4,16.908,0.956,0.936,
29,613.107,725.695,4,2,0.119,0.931,0.901,
66,613.747,726.387,24,17,19.914,0.758,0.642,
76,613.785,726.432,36,20,40.599,0.842,0.747,
74,613.394,726.0,12,4,33.617,0.946,0.919,
101,613.557,726.181,18,11,23.762,0.891,0.835,
120,14.498,17.694,6,4,28.513,0.967,0.949,
39,613.387,725.991,4,2,4.003,0.949,0.926,
21,13.829,16.862,2,2,1.764,0.905,0.857,
99,14.117,17.226,4,2,6.108,0.98,0.97,
231,614.475,727.138,24,12,23.053,0.948,0.922,
115,34.182,40.36,6,4,22.386,0.965,0.946,
151,129.428,157.827,4,2,47.519,0.987,0.98,
101,612.855,749.053,12,6,18.689,0.941,0.913,
92,13.696,16.437,4,2,10.437,0.978,0.967,
103,120.116,146.646,8,4,21.415,0.961,0.943,
91,14.358,17.435,0,0,9.234,1.0,1.0,
76,613.189,749.442,40,29,40.137,0.658,0.459,
161,613.248,749.526,22,9,26.819,0.938,0.906,
108,31.694,38.461,4,2,20.193,0.981,0.973,
76,20.107,24.456,4,2,30.208,0.974,0.957,
119,14.08,16.992,0,0,18.598,1.0,1.0,
91,612.619,748.772,8,6,41.834,0.934,0.905,
45,14.193,17.18,6,4,8.534,0.911,0.867,
85,614.067,750.377,6,4,20.167,0.953,0.927,
106,614.151,750.464,10,4,24.466,0.962,0.943,
360,614.192,750.521,112,44,225.591,0.883,0.702,
115,614.21,750.539,32,20,55.506,0.87,0.787,
25,13.071,15.658,0,0,3.222,1.0,1.0,
33,12.859,15.073,2,2,2.171,0.939,0.908,
38,12.38,14.039,0,0,15.191,1.0,1.0,
38,13.048,15.613,0,0,4.029,1.0,1.0,
120,14.341,17.497,8,4,61.577,0.967,0.95,
369,612.847,703.648,44,26,304.745,0.94,0.706,
59,613.181,704.049,16,8,10.706,0.864,0.801,
21,16.954,20.484,2,2,1.889,0.81,0.714,
112,48.117,56.088,8,4,25.619,0.964,0.947,
349,614.063,705.04,136,68,203.414,0.837,0.706,
349,615.337,706.358,88,45,206.913,0.88,0.789,
103,613.549,704.477,26,17,22.764,0.845,0.771,
76,613.561,704.49,30,14,37.518,0.882,0.806,
108,615.297,706.309,10,4,7.434,0.963,0.944,
109,614.875,705.864,8,4,6.998,0.963,0.944,
39,14.424,17.603,0,0,0.452,1.0,1.0,
89,613.749,704.708,14,6,26.929,0.933,0.899,
109,13.317,15.776,4,2,9.378,0.982,0.972,
76,26.528,31.31,4,2,30.57,0.974,0.958,
182,612.415,703.14,20,8,59.209,0.956,0.931,
360,615.319,706.335,102,55,215.325,0.856,0.623,
110,613.888,704.853,14,8,27.316,0.927,0.89,
258,614.995,705.995,66,40,94.042,0.86,0.79,
177,613.68,704.631,12,6,45.629,0.966,0.946,
169,613.706,786.578,90,54,68.488,0.722,0.581,
360,613.773,786.673,74,37,235.895,0.894,0.697,
98,15.049,18.319,8,4,29.209,0.959,0.94,
119,15.538,18.97,0,0,24.247,1.0,1.0,
86,613.659,786.515,14,4,6.924,0.953,0.93,
19,12.625,14.16,0,0,0.927,1.0,1.0,
215,613.892,786.826,16,8,122.362,0.963,0.931,
100,13.559,16.385,4,2,14.604,0.98,0.97,
122,29.524,36.648,4,2,23.504,0.984,0.975,
363,613.711,786.595,94,38,239.298,0.895,0.744,
115,613.646,786.502,24,10,47.775,0.913,0.863,
62,612.908,785.657,6,4,21.599,0.935,0.904,
70,613.321,786.139,12,6,5.011,0.914,0.879,
51,613.291,786.103,4,2,3.552,0.961,0.879,
